,FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,VintagePrice,WinePrice,VintageRatingPriceRatio,WineRatingPriceRatio
4153,Botanica Chenin Blanc 2016,Botanica,Chenin Blanc,2016,South African,Chenin Blanc,4.1,53.0,4.0,480.0,21.84,21.84,0.1877289377289377,0.18315018315018314
4195,Lanzerac Mrs. English Single Vineyard Chardonnay 2017,Lanzerac,Mrs. English Single Vineyard Chardonnay,2017,South African,Chardonnay,4.1,42.0,4.1,62.0,26.39,26.39,0.1553618794998105,0.1553618794998105
4198,Mullineux Granite Chenin Blanc 2018,Mullineux,Granite Chenin Blanc,2018,South African,Chenin Blanc,4.1,38.0,4.2,418.0,27.76,27.76,0.14769452449567722,0.15129682997118155
4282,Ataraxia Chardonnay 2013,Ataraxia,Chardonnay,2013,South African,Chardonnay,4.0,271.0,4.1,2178.0,23.0,23.0,0.17391304347826084,0.1782608695652174
4319,Crystallum The Agnes Chardonnay 2015,Crystallum,The Agnes Chardonnay,2015,South African,Chardonnay,4.0,173.0,4.0,1018.0,24.99,24.99,0.1600640256102441,0.1600640256102441
4382,Julien Schaal Evidence Chardonnay 2016,Julien Schaal,Evidence Chardonnay,2016,South African,Chardonnay,4.0,94.0,4.0,241.0,20.99,20.99,0.1905669366364936,0.1905669366364936
4404,Reyneke Reserve White 2016,Reyneke,Reserve White,2016,South African,Sauvignon Blanc,4.0,80.0,4.1,449.0,26.49,26.49,0.15100037750094375,0.15477538693846735
4430,Hogan Wines Chenin Blanc 2016,Hogan Wines,Chenin Blanc,2016,South African,Chenin Blanc,4.0,67.0,4.1,241.0,26.99,26.99,0.14820303816228236,0.1519081141163394
4447,Waterford Estate Chenin Blanc 2018,Waterford Estate,Chenin Blanc,2018,South African,Chenin Blanc,4.0,58.0,4.0,75.0,24.48,24.48,0.16339869281045752,0.16339869281045752
4449,Sumaridge Chardonnay 2015,Sumaridge,Chardonnay,2015,South African,Chardonnay,4.0,57.0,4.0,516.0,21.8,21.8,0.18348623853211007,0.18348623853211007
4486,Momento Chenin Blanc - Verdelho 2017,Momento,Chenin Blanc - Verdelho,2017,South African,Chenin Blanc,4.0,47.0,4.0,382.0,23.68,23.68,0.16891891891891891,0.16891891891891891
4586,Jacques de Klerk Rêverie Chenin Blanc 2016,Jacques de Klerk,Rêverie Chenin Blanc,2016,South African,Chenin Blanc,4.0,25.0,4.1,51.0,26.33,26.33,0.1519179642992784,0.15571591340676036
